需求编号,需求描述,Unnamed: 2,Unnamed: 3,Unnamed: 4,对应功能项,Unnamed: 6,Unnamed: 7,Unnamed: 8,测试用例编号,测试用例名称,预置条件,操作步骤,预期输出,重要级别,测试类型,适用阶段,测试结果,最近执行人,备注
56,管理系统,安全管控策略管理,安全策略集中部署,2.单独部署,软件管理,-守护策略,部署策略,,TC_56_1_1,在守护策略页面，勾选多个策略，点击部署策略，操作成功,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选多个策略，点击部署策略",3.操作成功,2.0,功能测试,系统测试阶段,通过,,
56,管理系统,安全管控策略管理,安全策略集中部署,2.单独部署,软件管理,-守护策略,部署策略,,TC_56_1_2,在部署策略界面，勾选任意一个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选指定策略，点击策略部署
4.勾选指定的设备，点击部署策略",4.策略部署成功，且守护策略在客户端生效,1.0,功能测试,系统测试阶段,通过,,
56,管理系统,安全管控策略管理,安全策略集中部署,2.单独部署,软件管理,-守护策略,部署策略,,TC_56_1_3,在部署策略界面，勾选多个在线设备，点击部署策略，会提示“创建部署策略成功”，且客户端守护策略生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击软件管理-守护策略
3.勾选指定策略，点击策略部署
4.勾选多个指定的设备，点击部署策略",4.策略部署成功，且守护策略在所有客户端生效,1.0,功能测试,系统测试阶段,通过,,
56,管理系统,安全管控策略管理,安全策略集中部署,2.单独部署,软件管理,-守护策略,部署策略,,TC_56_1_4,设备A设置守护策略P1，在守护策略-部署策略界面设置设备A守护策略为P2，再次查看设备管理-设备详情界面，守护策略显示为P2，且守护策略P2在客户端上生效,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常
4.设备A已下发守护策略P1","1.登陆服务端界面
2.点击设备管理-勾选设备A，点击查看详情
3.点击软件管理-守护策略
4.勾选指定策略P2，点击策略部署
5.再次点击设备管理-勾选设备A，点击查看详情","2.策略信息中显示为P1
4.策略部署成功，且守护策略在客户端生效
5.策略信息中显示为P2",2.0,功能测试,系统测试阶段,通过,,
57        ,管理系统,违规预警,违规处理配置管理,创建违规处理策略导入,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
58        ,管理系统,,,部署违规处策略,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
59        ,管理系统,,,文件违规告警,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
60        ,管理系统,,,硬件告警,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
61        ,管理系统,,,软件违规告警,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
62        ,管理系统,,违规预警统计,,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
63,管理系统,软件仓库,OSAgent,,Agent管理,,,,TC_63_1_1,系统盘安装在M.2设备，支持agent安装功能,"1.客户端与服务端网络通信正常
2.客户端系统装在M.2设备上","1.登录服务web界面，“客户端管理”选择“持久化代理”下发。
2.客户端，手动点击“安装”按钮。",2.客户端安装成功。,2.0,功能测试,系统测试阶段,通过,,
63,管理系统,软件仓库,OSAgent,,Agent管理,,,,TC_63_1_2,Agent启动后，查询BIOS中UUID检查守护功能未激活，agent向服务器注册设备信息,"1.客户端与服务端网络通信正常
2.客户端已安装agent;
3.持久化功能未激活;","1.客户端向服务端发送注册设备信息（机器名称、型号、mac地址、ip，cpu、硬盘、操作系统）;
2.服务端查看客户端注册信息;",2.服务端查看客户端注册信息与客户端实际信息一致;,2.0,功能测试,系统测试阶段,通过,,
63,管理系统,软件仓库,OSAgent,,Agent管理,,,,TC_63_1_3,管理员在服务端激活设备，agent将配置文件通过host_info传给bios，提示用户重启机器后，BIOS激活agent守护服务成功，服务器更新激活状态为已激活,"1.客户端与服务端网络通信正常;
2.客户端已安装agent;
3.持久化功能未激活;","1.在服务端点击激活设备;
2.客户端存在host_info文件，提示“重启”机器;
3.开机，一致按热键进入setup配置界面;
4.进入“安全”界面，查看“守护功能开关”的状态;
5.客户端进入OS后，进入服务端查看客户端激活状态，并查看激活日志;","1.服务器端激活成功;
2.客户端下存在host_info文件，客户端重启成功;
4.“守护功能开关”显示“已激活”，BIOS激活agent守护服务成功;
5.服务端显示客户端状态已激活，服务端显示客户端激活成功日志;",1.0,功能测试,系统测试阶段,通过,,
63,管理系统,软件仓库,OSAgent,,Agent管理,,,,TC_63_1_4,首次开机，服务端下发安装agent任务，客户端安装agent成功，miniagent进程自动启动,"1.客户端与服务端网络通信正常;
2.客户端已安装agent;
3.持久化功能已激活;","1.客户端安装agent；
2.ps -ef|grep miniagent；","1.安装成功；
2.miniagent进程存在；",1.0,功能测试,系统测试阶段,通过,,
63,管理系统,软件仓库,OSAgent,,Agent管理,,,,TC_63_1_5,重新安装操作系统，BIOS恢复客户端miniagent成功,"1.客户端与服务端网络通信正常;
2.客户端已安装agent;
3.持久化功能已激活;
4.局域网内存在TFTP服务（包含恢复文件且路径正确）","1.开机重新安装系统。
2.操作系统安装成功后，重启客户端，查看BIOS是否进入恢复过程。
3.进入OS查看Miniagent进行是否运行。","2.首次重启，BIOS进入恢复过程，恢复成功；
3.OS下Miniagent进程正常运行；",2.0,功能测试,系统测试阶段,通过,,
63,管理系统,软件仓库,OSAgent,,Agent管理,,,,TC_63_1_6,系统盘安装在M.2设备，支持BIOS恢复miniagent功能,"1.在M.2盘上安装系统；
2.客户端已安装agent;
3.持久化功能已激活;","1.在客户端系统下删除miniagent；
2.重启客户端；",2.重启客户端后，BIOS进入恢复阶段，并恢复miniagent成功；,2.0,功能测试,系统测试阶段,通过,,
63,管理系统,软件仓库,OSAgent,,Agent管理,,,,TC_63_1_7,联网情况下，客户端删除/修改 miniagent文件文件，重启后该文件可正常恢复。,"1.客户端与服务端网络通信正常。
2.客户端可以正常开机进入OS。","1.开机，在OS下/user/lib/systemed/system/目录下删除miniagent文件;
2.客户端手动重启；
3.重启进系统后查看/user/lib/systemed/system/目录下miniagent文件是否存在；","1.在OS下/user/lib/systemed/system/目录下删除miniagent文件成功;
3.重启进系统后查看/user/lib/systemed/system/目录下miniagent文件存在；",1.0,功能测试,系统测试阶段,通过,,
63,管理系统,软件仓库,OSAgent,,Agent管理,,,,TC_63_1_8,不联网情况下，删除/修改miniagent文件（客户端本地存在KLimage文件），重启设备后可正常恢复。,"1.客户端与服务端之间断网。
2.客户端可以正常开机进入OS。","1.开机，在OS下/user/lib/systemed/system/目录下删除miniagent文件;
2.客户端手动重启；
3.重启进系统后查看/user/lib/systemed/system/目录下miniagent文件是否存在；","1.在OS下/user/lib/systemed/system/目录下删除miniagent文件成功;
3.重启进系统后查看/user/lib/systemed/system/目录下miniagent文件存在；",2.0,功能测试,系统测试阶段,通过,,
64,管理系统,软件仓库,第三方,,软件管理,软件仓库,软件上架,,TC_64_1_1,在软件仓库页面，点击软件上架，点击添加名称，“软件名称”输入任意字符（中文、数字、字母、特殊字符等），点击确定添加成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.点击添加名称
4.名称填写任意字符（中文、数字、字母、特殊字符等），点击确定",4.软件名称添加成功,1.0,功能测试,系统测试阶段,通过,,
64,管理系统,软件仓库,第三方,,软件管理,软件仓库,软件上架,,TC_64_1_2,在软件仓库页面，点击软件上架，“版本”输入任意（字母大小写、数字、横杠、下划线和点），其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.在版本栏里输入任意（字母大小写、数字、横杠、下划线和点），其他参数填写正确，点击提交",3.软件添加成功,1.0,功能测试,系统测试阶段,通过,,
64,管理系统,软件仓库,第三方,,软件管理,软件仓库,软件上架,,TC_64_1_3,在软件仓库页面，点击软件上架，“软件分类”选择办公软件，其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.软件分类选择办公软件，其他参数正常填写，点击提交",3.软件添加成功,1.0,功能测试,系统测试阶段,通过,,
64,管理系统,软件仓库,第三方,,软件管理,软件仓库,软件上架,,TC_64_1_4,在软件仓库页面，点击软件上架，“软件分类”选择安全软件，其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.软件分类选择安全软件，其他参数正常填写，点击提交",3.软件添加成功,2.0,功能测试,系统测试阶段,通过,,
64,管理系统,软件仓库,第三方,,软件管理,软件仓库,软件上架,,TC_64_1_5,在软件仓库页面，点击软件上架，“软件分类”选择聊天工具，其他参数填写正确，提交成功,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击软件管理-软件仓库-软件上架
3.软件分类选择聊天工具，其他参数正常填写，点击提交",3.软件添加成功,2.0,功能测试,系统测试阶段,通过,,
65,管理系统,远程协助,远程ssh连接终端,,远程协助,远程启动VNC,,,TC_65_1_1,在远程协助界面，设备A关机，勾选设备A（状态为离线），点击创建安全连接，会有错误提示“设备处于离线状态不能创建安全连接！”,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.客户端手动关机
2.登陆服务端界面，点击远程协助
3.勾选设备A（离线状态），点击创建安全链接",3.服务端报错，提示“设备处于离线状态不能创建安全链接！”,2.0,功能测试,系统测试阶段,通过,,
65,管理系统,远程协助,远程ssh连接终端,,远程协助,远程启动VNC,,,TC_65_1_2,设备没有安装VNC软件，在远程协助界面，勾选设备列表任意一个在线设备，点击创建安全连接，状态显示为“连接成功”,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常
4.客户端没有安装VNC软件","1.客户端开机
2.登陆服务端界面，点击远程协助
3.勾选设备A（在线状态），点击创建安全链接（设备会自动安装VNC软件）",3.设备创建安全链接成功,1.0,功能测试,系统测试阶段,通过,,
65,管理系统,远程协助,远程ssh连接终端,,远程协助,远程启动VNC,,,TC_65_1_3,,,,,,,,通过,,
65,管理系统,远程协助,远程ssh连接终端,,远程协助,远程启动VNC,,,TC_65_1_4,辅助机安装VNCViewer软件，在远程协助界面，远程地址和远程密码有内容，点击启动远程桌面成功，可以对客户端进行远程控制,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常
4.登陆服务端的辅助机存在VNCViewer软件
5.辅助机与客户机处于同一个局域网内","1.登陆服务端界面，点击远程协助
2.远程地址和远程密码有内容，点击“启动远程桌面”",2.可以对客户端进行远程控制,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_1,设备上线会触发设备日志（不同类型处理器和操作系统都需要遍历）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常
4.存在多个不同处理器和操作系统的客户端","1.客户端开机
2.登陆服务端界面
3.点击日志管理-设备日志，查看是否存在日志
4.重复1-3步骤，遍历飞腾，龙芯，申威，海光，兆芯，Intel处理器
5.重复1-4步骤，遍历UOS，Kylin，Windows，loognix操作系统",3.存在设备上线日志,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_2,安装软件会触发设备日志（不同类型操作系统都需要遍历）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常
4.存在多个不同处理器和操作系统的客户端","1.登陆服务端界面
2.对指定客户端下发软件
3.查看点击日志管理-设备日志，查看是否存在日志
4.重复1-3步骤，遍历飞腾，龙芯，申威，海光，兆芯，Intel处理器
5.重复1-4步骤，遍历UOS，Kylin，Windows，loognix操作系统",3.存在安装软件日志,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_3,卸载软件会触发设备日志,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常
4.存在多个不同处理器和操作系统的客户端","1.登陆服务端界面
2.对指定客户端卸载软件
3.点击日志管理-设备日志，查看是否存在日志
4.重复1-3步骤，遍历飞腾，龙芯，申威，海光，兆芯，Intel处理器
5.重复1-4步骤，遍历UOS，Kylin，Windows，loognix操作系统",3.存在卸载软件日志,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_4,注销设备会触发设备日志,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击设备管理，注销已经激活过的设备
3.点击日志管理-设备日志，查看是否存在日志",3.存在设备注销日志,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_5,激活设备会触发设备日志,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击设备管理，激活未激活的设备或已注销的设备
3.点击日志管理-设备日志，查看是否存在日志",3.存在设备激活日志,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_6,远程重启会触发设备日志,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击远程协助，远程重启指定设备
3.点击日志管理-设备日志，查看是否存在日志",3.存在远程重启日志,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_7,部署守护策略会触发设备日志,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.在设备详情界面或守护策略界面对指定设备下发守护策略
3.点击日志管理-设备日志，查看是否存在日志",3.存在部署守护策略日志,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_8,更换内存条会触发设备日志,"1.服务端可以正常登陆
2.客户端与服务端网络通信正常","1.客户端关机
2.客户端更换内存条
3.客户端开机
4.登陆服务端界面
5.点击日志管理-设备日志，查看是否产生硬件变更日志",5.产生硬件变更日志,1.0,功能测试,系统测试阶段,通过,,
66,管理系统,,配置审计日志列表,可以勾选需要显示的运行日志的列表：设备登陆日志｜安全管控报警日志｜操作系统异常日志 | 硬件异常日志,日志管理,设备日志,,,TC_66_1_9,取消守护策略会触发设备日志,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常
4.守护策略A已下发","1.登陆服务端界面-守护策略
2.选中策略A，点击部署策略
3.选择已部署过策略A的设备，点击取消策略
4.点击日志管理-设备日志，查看是否存在日志",4.存在取消守护策略的日志,2.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_1,在设备日志界面，所有查询条件均不输入，点击查询，可以查询到所有未被分组和已分组的设备设备日志记录,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.所有查询条件均不输入，点击查询",3.可以查询到所有未被分组和已分组的设备总记录,2.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_2,在设备日志界面，“设备分组”选择任意分组，点击查询，可以查询到该分组以及子分组绑定的设备设备日志记录,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.点击“设备分组”选择任意分组，点击查询",3.可以查询到该分组以及子分组绑定的设备设备日志记录,2.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_3,在设备日志界面，“品牌”选择任意枚举，点击查询，查询结果匹配该枚举的设备设备日志记录（注意：要对枚举进行遍历测试）,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.“品牌”选择任意枚举，点击查询",3.查询结果过滤出所有该品牌的所有设备，且不是此品牌设备不能被过滤,2.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_4,在设备日志界面，“操作时间”起始日期框选择今天，起始日期填写正确，点击查询只能过滤今天到结束日期的记录,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.“操作时间”起始日期框选择今天，起始日期填写正确，点击查询",3.只能过滤今天到结束日期的记录,2.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_5,在设备日志界面，“设备分组”、“IP地址”、“品牌”、“型号”和“操作时间”输入存在的组合条件，点击查询，查询结果匹配正确,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.“设备分组”、“IP地址”、“品牌”、“型号”和“操作时间”输入存在的组合条件，点击查询",3.查询结果匹配正确,1.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_6,在设备日志界面，点击重置可以清空查询条件,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.“设备分组”、“IP地址”、“品牌”、“型号”、“采购批次”和“操作时间”输入信息,点击重置",3.重置可以清空查询条件,2.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_7,在设备日志界面，点击表格名称，可以进行排序,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.点击表格标题，任意进行点击",3.可以按照点击的标题类型进行排序,2.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_8,在设备日志界面，日志记录字段显示正确,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看日志",3.日志记录字段显示正确，包括：设备分组、IP地址、品牌、型号、设备SN号、处理器、操作系统、操作名称、描述、操作时间,1.0,功能测试,系统测试阶段,通过,,
67,管理系统,日志管理,日志显示,,日志管理,,,,TC_67_1_9,在设备日志界面，点击导出日志,1.服务端运行正常,"1.登录服务器
2.点击日志管理-设备日志
3.点击导出日志
4.在本地查看是否会导出日志文件",4.本地会导出excel文件，且内容一致,1.0,功能测试,系统测试阶段,通过,,
68,管理系统,日志管理,操作日志,终端操作日志,日志管理,操作日志,,,TC_68_1_1,上架软件会触发操作日志,1.服务端可以正常登陆,"1.登陆服务端界面
2.成功上架一款软件
3.点击日志管理-操作日志",3.可以产生操作日志,1.0,功能测试,系统测试阶段,通过,,
68,管理系统,日志管理,操作日志,终端操作日志,日志管理,操作日志,,,TC_68_1_2,创建策略会触发操作日志,1.服务端可以正常登陆,"1.登陆服务端界面
2.创建策略成功
3.点击日志管理-操作日志",3.可以产生操作日志,1.0,功能测试,系统测试阶段,通过,,
68,管理系统,日志管理,操作日志,终端操作日志,日志管理,操作日志,,,TC_68_1_3,生成设备资产台账报表会触发操作日志,1.服务端可以正常登陆,"1.登陆服务端界面
2.资产统计-资产台账数据报表
3.点击设备资产台账-生成报表
4.点击日志管理-操作日志
5.查看是否会触发操作的日志",5.会触发操作的日志,2.0,功能测试,系统测试阶段,通过,,
68,管理系统,日志管理,操作日志,终端操作日志,日志管理,操作日志,,,TC_68_1_4,生成软件资产台账报表会触发操作日志,1.服务端可以正常登陆,"1.登陆服务端界面
2.资产统计-资产台账数据报表
3.点击软件资产台账-生成报表
4.点击日志管理-操作日志
5.查看是否会触发操作的日志",5.会触发操作的日志,2.0,功能测试,系统测试阶段,通过,,
68,管理系统,日志管理,操作日志,终端操作日志,日志管理,操作日志,,,TC_68_1_5,远程协助-远程启动VNC会触发操作日志,1.服务端可以正常登陆,"1.登陆服务端界面
2.进入远程协助，点击启动VNC
3.点击日志管理-操作日志
4.查看是否会触发操作的日志",4.会触发操作的日志,2.0,功能测试,系统测试阶段,通过,,
69,管理系统,日志管理,应用日志,第三方软件应用日志,日志管理,告警日志,,,TC_69_1_1,所有硬件告警都会同步触发告警日志，且数量一致（告警日志状态为发送和处理完成）,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看设备告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.设备告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
69,管理系统,日志管理,应用日志,第三方软件应用日志,日志管理,告警日志,,,TC_69_1_2,所有软件告警都会同步触发告警日志，且数量一致,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看软件告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.软件告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
69,管理系统,日志管理,应用日志,第三方软件应用日志,日志管理,告警日志,,,TC_69_1_3,所有位置告警都会同步触发告警日志，且数量一致,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看位置告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.位置告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
69,管理系统,日志管理,应用日志,第三方软件应用日志,日志管理,告警日志,,,TC_69_1_4,所有任务告警都会同步触发告警日志，且数量一致,1.服务端可以正常登陆,"1.登陆服务端界面
2.点击日志管理-设备日志
3.查看任务告警都会同步触发告警日志（告警日志状态为发送和处理完成）",3.任务告警都会同步触发告警日志（告警日志状态为发送和处理完成）,1.0,功能测试,系统测试阶段,通过,,
70,管理系统,日志管理,日志导出,,日志管理,告警日志,导出日志,,TC_70_1_1,在告警日志界面，点击导出日志,1.服务端运行正常,"1.登录服务器
2.点击日志管理-告警日志
3.点击导出日志
4.在本地查看是否会导出日志文件",4.本地会导出excel文件，且内容一致,1.0,功能测试,系统测试阶段,通过,,
71        ,,系统密钥管理,主密钥管理,平台敏感数据保护，密钥备份保护,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
72        ,,,传输密钥管理,终端和服务之间数据加密,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
73        ,,,密钥异常管理,服务端加密数据、解密数据出现的异常信息,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
74        ,,,密钥备份管理,可备份传输密码，支持加密选项,,,,,,,,,,,,,不通过,,功能已实现，当前环境不满足验证条件
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,激活设备,,,TC_75_1_1,管理员在服务端激活设备，客户端自动重启机器后，agent将配置文件通过host_info传给bios，BIOS激活agent守护服务成功，服务器更新激活状态为已激活,"1.客户端与服务端网络通信正常;
2.客户端已安装agent;
3.持久化功能未激活;","1.客户端登录激活地址（例如192.168.60.70:8888）
2.输入激活码，点击确定
3.填写设备名称和设备位置描述，点击保存
4.客户端自动下载server文件，自动重启
5.进入BIOS“安全”界面，查看“守护功能开关”的状态;
6.客户端进入OS后，进入服务端查看客户端激活状态，并查看激活日志;","5.“守护功能开关”显示“已激活”，BIOS激活agent守护服务成功;
6. 服务端显示客户端状态已激活，服务端显示客户端激活成功日志;",1.0,功能测试,系统测试阶段,通过,,
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,激活设备,注销设备,,TC_75_1_2,在激活设备界面，勾选任意记录，点击“从设备列表删除”，操作成功，不能在“设备列表”查看到该设备,"1.客户端与服务端网络通信正常;
2.存在一台已安装agent软件但未激活的设备
3.服务端可以正常登陆","1.登陆服务端界面
2.点击设备管理-添加设备
3.勾选任意一台待激活的设备，点击“从设备列表删除”
4.在设备列表根目录查看是否存在该设备",4.被删除的设备不会在添加设备中显示,1.0,功能测试,系统测试阶段,通过,,
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,激活设备,,,TC_75_1_3,设备在管理系统中具有全局唯一的标识,"1.服务端可以正常登陆
2.存在激活的设备A","1.登录管理系统数据库
2.查看设备是否具有全局唯一的标识",2.设备在管理系统中具有全局唯一的标识 agent id ,1.0,功能测试,系统测试阶段,通过,,
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,注销设备,,,TC_75_1_4,在设备管理界面，勾选任意记录，点击“注销设备”，操作成功，在“设备列表”不能查看到该设备,"1.服务端可以正常登陆
2.服务端上存在被管理的激活设备
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击设备管理
3.勾选任意一台设备，点击注销设备",3.在“设备列表”不能查看到该设备,1.0,功能测试,系统测试阶段,通过,,
75,OS Agent,设备授权激活/注销,设备授权激活/注销,,设备管理,注销设备,,,TC_75_1_5,设备被注销后，可以在激活设备界面看到该设备，且可以被再次激活,"1.服务端可以正常登陆
2.服务端上存在被管理的激活设备
3.客户端与服务端网络通信正常","1.登陆服务端界面
2.点击设备管理
3.勾选任意一台设备，点击注销设备
4.点击设备",3.在“设备列表”不能查看到该设备,1.0,功能测试,系统测试阶段,通过,,
76,OS Agent,设备信息上送,设备硬件信息,计算机名|计算机制造商|CPU信息|内存大小|硬盘类型&大小|IP地址|,设备管理,设备详情,,,TC_76_1_1,对设备硬件进行更换、新增或者拔掉（例如：硬盘、内存等设备），在设备详情界面，设备信息一栏显示正确无误，且与实际一致（对设备列表进行抽样查询）,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.关闭客户机，更换硬盘或内存
4.开启客户端设备，登陆服务端界面
5.点击设备管理，选择指定的客户端设备，点击查看详情",5.设备信息应有变化（更换硬盘则硬盘信息有变化，更换内存则内存大小有变化）,1.0,功能测试,系统测试阶段,通过,,
76,OS Agent,设备信息上送,设备硬件信息,计算机名|计算机制造商|CPU信息|内存大小|硬盘类型&大小|IP地址|,设备管理,设备详情,,,TC_76_1_2,设备未设置守护策略，在设备详情界面，“守护策略”显示内容为“设备未设置守护策略”,"1.服务端可以正常登陆
2.客户端已安装agent,持久化功能开启
3.客户端与服务端网络通信正常;
4.客户端设备未设置守护策略","1.登陆服务端界面
2.点击设备管理，选择指定的客户端设备，点击查看详情
3.观察“守护策略”信息",3，显示设备未设置守护策略信息,2.0,功能测试,系统测试阶段,通过,,
